DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
241910666,08/04/2024 12:00:00 AM,07/28/2024 12:00:00 AM,2230,19,Mission,1921,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,26,M,H,101,STREET,,,IC,Invest Cont,331,,,,12200    CANYON HILL                  AV,,34.2927,-118.4668
241513447,09/05/2024 12:00:00 AM,08/30/2024 12:00:00 AM,1855,15,N Hollywood,1527,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 1822,0,M,O,203,OTHER BUSINESS,,,IC,Invest Cont,442,,,,11000    VICTORY                      BL,,34.1867,-118.3703
240304723,01/13/2024 12:00:00 AM,01/13/2024 12:00:00 AM,1629,3,Southwest,329,2,354,THEFT OF IDENTITY,0100 1822 0930,54,M,K,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,500 W  31ST                         ST,,34.0236,-118.2773
241209362,04/02/2024 12:00:00 AM,04/01/2024 12:00:00 AM,1800,12,77th Street,1266,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,8100 S  BROADWAY,,33.9661,-118.2849
241609474,07/25/2024 12:00:00 AM,07/19/2024 12:00:00 AM,1804,16,Foothill,1611,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,M,W,243,"DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTORS WAREHOUSE)",,,IC,Invest Cont,442,,,,13500    VAUGHN                       ST,,34.2786,-118.4265
240104530,01/08/2024 12:00:00 AM,01/08/2024 12:00:00 AM,135,1,Central,145,1,330,BURGLARY FROM VEHICLE,1300 1609 0358 1302 1307 0344 0329,53,M,W,101,STREET,,,IC,Invest Cont,330,,,,400 S  LOS ANGELES                  ST,,34.0471,-118.2474
241104461,01/13/2024 12:00:00 AM,01/12/2024 12:00:00 AM,1550,11,Northeast,1183,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0334 0302 1309,0,M,X,101,STREET,102.0,HAND GUN,IC,Invest Cont,230,,,,1500    GLENDALE                     BL,,34.0819,-118.26
241906309,02/29/2024 12:00:00 AM,02/28/2024 12:00:00 AM,2200,19,Mission,1913,1,330,BURGLARY FROM VEHICLE,0344 1605,45,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330,,,,13200    WOODCOCK                     AV,,34.3104,-118.4614
240512792,11/21/2024 12:00:00 AM,11/14/2024 12:00:00 AM,2110,5,Harbor,523,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,0,,,101,STREET,,,IC,Invest Cont,341,,,,2000    JOHN S GIBSON                BL,,33.7566,-118.2896
241412833,09/06/2024 12:00:00 AM,08/30/2024 12:00:00 AM,803,14,Pacific,1469,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 1822 0104,0,X,X,402,MARKET,,,IC,Invest Cont,442,,,,6800    LA CIENEGA                   BL,,33.9761,-118.3726
241507461,03/12/2024 12:00:00 AM,03/09/2024 12:00:00 AM,1125,15,N Hollywood,1562,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,29,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,956,,,,4400    VANTAGE                      AV,,34.1504,-118.3976
241607730,04/29/2024 12:00:00 AM,04/28/2024 12:00:00 AM,2224,16,Foothill,1695,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,M,W,401,MINI-MART,,,IC,Invest Cont,442,,,,7600    VINELAND                     AV,,34.2084,-118.3703
241611598,11/29/2024 12:00:00 AM,11/17/2024 12:00:00 AM,1046,16,Foothill,1613,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,42,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740,,,,12600    PIERCE                       ST,,34.2758,-118.4052
240705776,02/11/2024 12:00:00 AM,02/11/2024 12:00:00 AM,220,7,Wilshire,762,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 0913 0312 0361 1419 1407 1402 0906,21,M,H,102,SIDEWALK,102.0,HAND GUN,AA,Adult Arrest,230,998.0,,,1400 S  POINT VIEW                   ST,,34.0522,-118.37
240604980,01/20/2024 12:00:00 AM,01/12/2024 12:00:00 AM,828,6,Hollywood,636,2,354,THEFT OF IDENTITY,1822 1501,29,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,6600    YUCCA                        ST,,34.1032,-118.3334
241509124,04/16/2024 12:00:00 AM,04/15/2024 12:00:00 AM,2030,15,N Hollywood,1523,1,310,BURGLARY,1822 0344 1609 1606 0358 2034,36,M,O,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,310,,,,6100    BELLAIRE                     AV,,34.1815,-118.4094
240104312,01/04/2024 12:00:00 AM,01/04/2024 12:00:00 AM,1400,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
